"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Mobile Sub-Category Listing Verification","3","0","","0"
"0","","4","Mega Menu Navigation","2","0","","0"
"0","","0","Checkout Data Driven Testing","1","0","","0"
"0","","0","Login Functionality","2","0","","0"
"0","","0","User Registration","2","0","","0"
"0","","0","Product Search Functionality","3","0","","0"
"0","","0","Product Purchase Flow","1","0","","0"
"0","","0","Checkout Negative Scenarios","1","0","","0"
